event_type,timestamp,topic_category,user_text,rating
faq_search,2026-06-18T22:53:44Z,fee_education,What does STT mean when withdrawing mutual funds?,
faq_search,2026-06-17T11:53:44Z,fee_education,What is the exit load for a thematic fund?,
faq_search,2026-06-15T04:53:44Z,fee_education,What is the exit load for a thematic fund?,
faq_search,2026-06-14T07:53:44Z,fee_education,How much stamp duty is levied on SIPs?,
faq_search,2026-06-16T13:53:44Z,fee_education,Explain the total expense ratio and how it affects my returns,
faq_search,2026-06-18T18:53:44Z,investor_processes,How to update nominee details for my mutual fund investment?,
faq_search,2026-06-15T19:53:44Z,key_concepts,What is the difference between direct and regular mutual funds?,
faq_search,2026-06-19T20:53:44Z,key_concepts,What is the difference between direct and regular mutual funds?,
faq_search,2026-06-16T01:53:44Z,investor_processes,How to update nominee details for my mutual fund investment?,
faq_search,2026-06-19T08:53:44Z,fee_education,How much stamp duty is levied on SIPs?,
faq_search,2026-06-19T00:53:44Z,fee_education,What is the exit load for a thematic fund?,
faq_search,2026-06-19T11:53:44Z,key_concepts,What is the difference between direct and regular mutual funds?,
faq_search,2026-06-17T05:53:44Z,fee_education,What does STT mean when withdrawing mutual funds?,
faq_search,2026-06-16T17:53:44Z,fee_education,How much stamp duty is levied on SIPs?,
faq_search,2026-06-19T02:53:44Z,fee_education,What is the exit load for a thematic fund?,
booking_created,2026-06-16T09:53:44Z,new_investment,,
booking_created,2026-06-14T02:53:44Z,portfolio_review,,
booking_created,2026-06-17T02:53:44Z,portfolio_review,,
booking_created,2026-06-14T22:53:44Z,portfolio_review,,
booking_created,2026-06-17T03:53:44Z,tax_planning,,
booking_created,2026-06-19T16:53:44Z,new_investment,,
booking_created,2026-06-16T14:53:44Z,tax_planning,,
booking_created,2026-06-15T09:53:44Z,new_investment,,
booking_created,2026-06-16T16:53:44Z,new_investment,,
booking_created,2026-06-19T22:53:44Z,general_advice,,
meeting_feedback,2026-06-14T07:53:44Z,,,very_useful
meeting_feedback,2026-06-18T03:53:44Z,,,very_useful
meeting_feedback,2026-06-14T15:53:44Z,,,somewhat_useful
meeting_feedback,2026-06-15T15:53:44Z,,,very_useful
meeting_feedback,2026-06-19T13:53:44Z,,,not_useful
meeting_feedback,2026-06-17T14:53:44Z,,,very_useful
meeting_feedback,2026-06-17T20:53:44Z,,,very_useful
meeting_feedback,2026-06-19T01:53:44Z,,,somewhat_useful
meeting_feedback,2026-06-15T07:53:44Z,,,very_useful
meeting_feedback,2026-06-19T08:53:44Z,,,somewhat_useful
reviews_data,2026-06-19T22:38:08Z,,best platform for trading,5
